p14_event_record,actual,prob_1,predictions
40864565,1,0.267125,0
40792853,0,0.5229583333333334,1
40599562,1,0.32524999999999993,0
40557897,0,0.5225416666666667,1
40621658,0,0.8575476190476189,1
40572110,1,0.43156250000000007,0
40723087,1,0.08089880952380951,0
40579633,1,0.4876875,0
40575998,0,0.7319166666666667,1
40700521,1,0.2823809523809523,0
40836369,1,0.47922916666666665,0
40569698,1,0.26733333333333337,0
40812001,1,0.3874791666666666,0
40518084,0,0.9605416666666666,1
40815458,1,0.07489583333333333,0
40784017,0,0.8746666666666667,1
40935991,1,0.2835,0
40711397,0,0.5013541666666667,1
40523827,1,0.2225,0
40544282,0,0.6505624999999999,1
40767752,0,0.6220833333333334,1
40631563,0,0.7660625000000002,1
40801102,0,0.5102083333333334,1
40665813,0,0.6638333333333334,1
40692539,0,0.7121875,1
