,Flight Record,Flight Date (Exact),Tail Number,Airframe,Fleet,Takeoff Airport Code,Landing Airport Code,P14: Event Record,P14: Event Type,P14: Severity,P14: False Positive,P14: Start of Event - 10 seconds Seconds (From Start of File),P14: End of Event + 10 seconds Seconds (From Start of File),P14: Data Dropouts (seconds),P14: Error b/w GMT and Recorded Time around event (%),P14: Estimated Nav Error at Start of Event (nm),P14: Standard Deviation of Sample Rate of GMT (Event Interval +/- 30 Seconds (Hz),P14: Flap Handle Position at Start of Event,P14: Speed Brake Handle Position at Start of Event (deg),P14: Flap Position at Start of Event (deg+=TED),P14: Duration of Event (Seconds),P14: Terrain Elevation at Start of Event (ft),P14: Uncertainty in Touchdown Position based on Recorded Position (ft),target
360,2851632,2020-02-06 08:25:35+00:00,VH-VYZ,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,41128672,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,964.25,984.25,0.0,0.00133514404296875,0.013844745483749584,0.0,5.0,-0.7344724535942078,5.150322785248628,0.0,12.460589408874512,99.99999181704001,0
361,2851421,2020-02-06 05:50:36+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41128820,Pitch Attitude High During Rotation (Gears Extended),Level 3,Not a False Positive,788.5,808.5,14.0,-9.5367431640625e-05,0.015327485617308734,0.0,5.0,-1.2862682342529297,5.156261340991871,0.0,12.855951309204102,99.99999181704001,0
362,2851136,2020-02-05 23:52:35+00:00,VH-VZD,737-800,QFA - 737-800 (1024 wps),YBBN,YBTL,41129130,Rotation Speed High,Level 2,Not a False Positive,1975.5,1995.5,2.0,-0.00152587890625,0.026878370583150176,0.0,5.0,-1.7466291189193726,5.19189267545133,0.0,5.942573547363281,99.99999181704001,0
363,2851036,2020-02-05 22:48:17+00:00,VH-VZE,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41129179,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,912.0,932.0,0.0,-0.00152587890625,0.007299956234237725,0.0,5.0,-0.918327271938324,5.0374897106273755,0.0,12.191679954528809,99.99999181704001,0
364,2850255,2020-02-05 05:41:15+00:00,VH-XZO,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,41129823,Rotation Speed High,Level 2,Not a False Positive,418.5,438.5,0.0,-9.5367431640625e-05,0.02499725115432273,0.0,5.0,-1.4703545570373535,5.156261340991871,0.0,12.52041244506836,99.99999181704001,0
365,2849131,2020-02-04 03:24:49+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,41131090,Rotation Speed Low,Level 2,Not a False Positive,389.0,409.0,0.0,-9.5367431640625e-05,0.010672392221616898,0.0,5.0,-1.1022591590881348,5.227524009910789,0.0,4.859910011291504,99.99999181704001,0
366,2845487,2020-01-31 05:12:11+00:00,VH-VXT,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41134691,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1007.75,1027.75,2.0,-9.5367431640625e-05,0.00592022014521842,0.0,5.0,-1.3783113956451416,5.251278232883763,0.0,12.592626094818115,99.99999181704001,0
371,2853535,2020-02-08 09:17:20+00:00,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,NZCH,41126718,Rotation Speed Low,Level 2,Not a False Positive,381.0,401.0,0.0,-0.00152587890625,0.006680395401900966,0.0,5.0,-0.5506946444511414,5.013735487654403,0.0,5.842130184173584,99.99999181704001,0
372,2848806,2020-02-03 21:17:21+00:00,VH-VZQ,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,41131487,Idle Thrust Approach,Level 3,Not a False Positive,6486.5,6532.0,11.0,0.0001258456829896907,0.009448634694003439,0.0,30.0,3.7460970878601074,29.980497996012367,25.5,18.160717964172363,99.99999181704001,0
373,2844713,2020-01-30 08:56:25+00:00,VH-VZA,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,41135542,Thrust Reversers Delayed During Landing,Level 2,Not a False Positive,6756.25,6837.75,0.0,0.0010277614120609503,0.0035143557679994998,0.0,40.0,4.200705528259277,40.0,61.5,15.762487888336182,99.99999181704001,0
374,2848871,2020-02-03 19:58:03+00:00,VH-XZB,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,41131503,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,704.0,724.0,0.0,-0.00152587890625,0.0252799006581947,0.0,1.0,-1.2862682342529297,0.9988394041319151,0.0,14.885812759399414,99.99999181704001,0
375,2848449,2020-02-03 08:16:20+00:00,VH-VYC,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41131856,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,578.75,598.75,2.0,-0.00152587890625,0.004658846932639318,0.0,5.0,-1.4703545570373535,5.156261340991871,0.0,397.12244415283203,99.99999181704001,0
376,2848337,2020-02-03 02:59:03+00:00,VH-VZI,737-800,QFA - 737-800 (1024 wps),NZWN,YMML,41132094,Rotation Speed High,Level 2,Not a False Positive,502.75,522.75,0.0,-9.5367431640625e-05,0.04338346440349136,0.0,5.0,-1.2862682342529297,5.061244449099979,0.0,23.22257089614868,99.99999181704001,0
377,2848158,2020-02-03 03:48:51+00:00,VH-XZP,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,41132160,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,546.0,566.0,2.0,0.0006198883056640625,0.005996973512750817,0.0,5.0,-1.4703545570373535,5.061244449099979,0.0,363.4454345703125,99.99999181704001,0
378,2848112,2020-02-02 23:23:53+00:00,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YPDN,41132335,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,4135.0,7348.0,0.0,-3.7421569916333383e-07,0.005764102209046159,0.0,0.0,-1.2862682342529297,0.004750851441074062,3193.0,443.24147338867186,99.99999181704001,1
379,2847886,2020-02-02 23:59:10+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,41132362,Deviation Above GlideSlope 500 to 200 ft AGL,Level 2,Not a False Positive,5710.0,5752.25,0.0,6.804776317415422e-05,0.006321688056729788,0.0,30.0,3.928011894226074,30.078183492024742,22.25,68.3754653930664,99.99999181704001,0
380,2847675,2020-02-02 22:21:38+00:00,VH-VXT,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,41132487,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,575.5,595.5,0.0,0.00133514404296875,0.023082625584989656,0.0,5.0,-1.4703545570373535,5.251278232883763,0.0,8.409883499145508,99.99999181704001,0
381,2847623,2020-02-02 21:21:25+00:00,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,41132552,Climb Speed High,Level 2,Not a False Positive,620.0,645.0,17.0,-0.00244140625,0.01780887650322233,0.0,5.0,-0.6425739526748657,5.156261340991871,5.0,69.23512268066406,99.99999181704001,0
382,2847265,2020-02-02 07:24:27+00:00,VH-VXC,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,41132984,Early Flap Retraction,Level 2,Bad Parameter: Synchronization Error,402.5,474.0,3.75,18.659050054522368,0.34807365209297786,0.0,5.0,-0.09158669412136078,5.156261340991871,51.5,396.23133850097656,99.99999181704001,1
