flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_duration_of_event_seconds,p14_terrain_elevation_at_start_of_event_ft,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2731422,6/10/2019 5:46,VH-VYB,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40627118,Thrust reversers delayed during landing,Level 2,Not a False Positive,4112,4193,61,10.76721764,2,-1.35E-04,0.040381109,0,30,10.33791256,30.13677724,0
2731645,6/10/2019 7:29,VH-VZT,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40627189,Airborne Speed High,Level 2,Not a False Positive,459,480,1,396.1408691,0,-8.64E-04,0.029598888,0,15,-0.366993845,15.05863698,0
2732984,7/10/2019 21:37,VH-VZX,737-800,QFA - 737-800 (1024 wps),YMML,NZCH,40626209,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,6848,11263.25,4395.25,0,0,4.68E-05,0.013555645,0,0,-1.654518247,0.004750851,1
2733140,7/10/2019 23:50,VH-VZU,737-800,QFA - 737-800 (1024 wps),YMML,NZWN,40626040,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,10676,11380,684,0,2,1.14E-05,0.017860826,0,0,-1.654518247,0,1
2733499,8/10/2019 8:23,VH-XZI,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40625540,Short Runway Distance Remaining,Level 2,Not a False Positive,10205,10225,0,23.7210598,2,-0.001525879,0.022343615,0,30,3.928011894,30.07818349,0
2734011,8/10/2019 21:25,VH-XZE,737-800,QFA - 737-800 (1024 wps),YPPH,YCHK,40625266,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,4026,6052.25,2006.25,1911.417334,0,-0.046938942,0.006541047,0,0,-0.366993845,0.009501703,1
2734140,8/10/2019 22:23,VH-VXK,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40624984,Airborne Speed High,Level 2,Not a False Positive,701,721,0,11.70596695,0,-0.001525879,0.025151176,0,5,-1.37830174,5.132507118,0
2734268,8/10/2019 23:54,VH-XZE,737-800,QFA - 737-800 (1024 wps),YCHK,YPPH,40625152,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,637,6432.5,5775.5,1451.450195,0,-3.77E-05,0.021836178,0,5,-1.102259159,5.108752895,1
2734268,8/10/2019 23:54,VH-XZE,737-800,QFA - 737-800 (1024 wps),YCHK,YPPH,40625157,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,672,768,76,1443.870605,0,-0.001992985,0.005690889,0,5,-1.102259159,5.108752895,1
2734326,9/10/2019 1:13,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40624908,Airborne Speed High,Level 2,Not a False Positive,696,716,0,12.72535896,2,-9.54E-05,0.013674973,0,5,-0.458834648,5.132507118,0
2734359,8/10/2019 23:35,VH-XZC,737-800,QFA - 737-800 (1024 wps),YMML,NZWN,40625211,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,12762,12784,2,30.3642292,2,-2.13E-04,0.013039289,0,30,3.65511179,30.07818349,0
2734395,9/10/2019 2:11,VH-VXA,737-800,QFA - 737-800 (1024 wps),YBAS,YPDN,40624814,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,6304,6334,10,115.3667526,2,-0.769160344,0.009097515,0,0,34.33533859,0.009501703,0
2734705,9/10/2019 8:28,VH-VYI,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40624467,Airborne Speed High,Level 2,Not a False Positive,1148,1169,1,13.8638773,9,5.55E-04,0.005151287,0,5,-1.286268234,5.180015564,0
2734790,9/10/2019 7:46,VH-VYF,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40624546,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,4535,6003,1448,2608.267822,0,-2.24E-05,0.00386537,0,0,-1.010283589,0,1
2735660,10/10/2019 1:42,VH-VZX,737-800,QFA - 737-800 (1024 wps),YBBN,YPPH,40624170,Airborne Speed High,Level 2,Not a False Positive,478,499,1,10.50119972,0,2.00E-04,0.005706549,0,5,-1.470354557,5.084998672,0
2735859,10/10/2019 7:08,VH-XZN,737-800,QFA - 737-800 (1024 wps),YPPH,YSCB,40624036,Airborne Speed High,Level 2,Not a False Positive,434,454,0,60.04527664,0,-9.54E-05,0.032731508,0,1,-1.37830174,1.016927768,0
2736441,11/10/2019 0:27,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40623229,Deep Touchdown,Level 2,Not a False Positive,3685,3705,0,14.47376442,0,-9.54E-05,0.039234464,0,30,4.10985136,30.19537099,0
2736559,11/10/2019 3:10,VH-VZA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40622991,Airborne Speed High,Level 2,Not a False Positive,410,430,0,395.3409119,2,-9.54E-05,0.029986181,0,10,-1.37830174,10.21486155,0
2737138,11/10/2019 20:25,VH-XZD,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40623096,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,8218,10154.5,1916.5,0,0,6.44E-05,0.005548673,0,0,-1.194254041,0.009501703,1
2737138,11/10/2019 20:25,VH-XZD,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40623100,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,9901,9930,9,553.6473999,0,7.10E-05,0.030540681,0,5,-1.194254041,5.013735488,1
2737147,11/10/2019 21:25,VH-VZR,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40622614,Rotation Speed High,Level 2,Not a False Positive,849.75,869.75,0,5.689725399,0,-0.001525879,0.036644734,0,5,1.77E-04,4.951231157,0
2737147,11/10/2019 21:25,VH-VZR,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40622615,Airborne Speed High,Level 2,Not a False Positive,856,876,0,8.394551277,0,-0.001525879,0.029258642,0,5,-0.091586694,4.951231157,0
2737244,11/10/2019 23:37,VH-VZB,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40622421,Deep Touchdown,Level 2,Not a False Positive,6937.5,6957.5,0,12.62967253,0,8.34E-05,0.018652915,0,30,9.081314087,30.37115224,0
2738287,13/10/2019 3:10,VH-VYK,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40621658,Late Land Flap Selection,Level 2,Not a False Positive,4458,4478,0,119.236084,12,0.001335144,0.004141867,0,40,1.55723846,24.92192586,0
2741251,15/10/2019 21:02,VH-VXI,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619473,Airspeed Low Relative to Stall Speed,Level 2,Not a False Positive,2791,2813,2,1303.805762,4,0.002601498,0.026628207,0,0,-1.562426805,0.004750851,0
2741422,15/10/2019 22:46,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40619385,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2840,4493.25,1633.25,88.58267975,0,-1.48E-05,0.006675101,0,0,-1.194254041,0,1
2741524,16/10/2019 0:13,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YFDF,YPPH,40619470,Airborne Speed High,Level 2,Not a False Positive,891,912,1,1525.585327,2,-2.15E-05,0.014844492,0,5,-1.194254041,5.013735488,0
2741530,16/10/2019 0:52,VH-VXN,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40619326,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,444,3677.75,3213.75,14.69017696,0,6.01E-06,0.004553588,0,1,-1.102259159,0.970334285,1
2741530,16/10/2019 0:52,VH-VXN,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40619328,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,483,598,95,15.71499348,0,-6.21E-05,0.031501688,0,1,-1.102259159,0.970334285,1
