flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_duration_of_event_seconds,p14_terrain_elevation_at_start_of_event_ft,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2821677,6/01/2020 2:43,VH-VZQ,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40551290,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,788.5,808.5,0,9.221333027,0,-9.54E-05,0.01068856,0,1,-0.826390207,1.021435028,0
2821764,6/01/2020 4:11,VH-VYK,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40550976,Thrust reversers delayed during landing,Level 2,Not a False Positive,4721,4802.75,61.75,7.172379971,4,1.90E-04,0.002947694,0,30,4.200743198,29.980498,0
2822066,6/01/2020 8:54,VH-VZK,737-800,QFA - 737-800 (1024 wps),YSCB,YPPH,40550982,Airborne Speed High,Level 2,Not a False Positive,548,568,0,1871.238525,0,0.001335144,0.004020641,0,1,-1.102259159,1.02594224,0
2822193,6/01/2020 17:21,VH-XZF,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,40551077,Airborne Speed High,Level 2,Not a False Positive,611,631,0,16.34434128,0,0.004196167,0.002838938,0,1,-1.102259159,1.012420556,0
2822767,7/01/2020 6:56,VH-VXF,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40550271,Rotation Speed High,Level 2,Not a False Positive,332.75,352.75,0,5.107771993,2,2.62E-04,0.024168787,0,15,-1.194254041,14.81691615,0
2822791,7/01/2020 6:55,VH-XZE,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,40550099,High Vertical Acceleration at landing,Level 2,Not a False Positive,6850.25,6876.25,6,21.08042955,12,-4.36E-04,0.013830824,0,30,3.837063789,30.01958974,0
2822809,7/01/2020 6:37,VH-VYG,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40550353,Pitch Attitude High During Landing (Gears Compressed),Level 2,Bad Parameter: Bad Sensor on Airplane,NA,NA,NA,NA,0,-0.040611032,NA,0,NA,NA,NA,1
2823078,7/01/2020 20:10,VH-VYH,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,40550025,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,8313,8357,24,1198.335449,0,0.002288818,0.00358302,0,0,28.00109291,0.004750851,0
2823324,8/01/2020 2:38,VH-VZE,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40549651,High Bank Angle Descent Below 200 feet,Level 2,Not a False Positive,4311.75,4331.75,0,414.901329,0,-9.54E-05,0.007843408,0,30,3.791580439,29.95120112,0
2823585,7/01/2020 21:54,VH-XZB,737-800,QFA - 737-800 (1024 wps),YSSY,NFFN,40550062,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,13324,13354,10,0,0,1.47E-05,0.002250706,0,0,-1.286268234,0,1
2824132,9/01/2020 0:03,VH-XZN,737-800,QFA - 737-800 (1024 wps),YPAD,YBAS,40548742,Airborne Speed High,Level 2,Not a False Positive,644,664,0,17.1587925,2,5.22E-06,0.009186089,0,1,-1.37830174,1.016927768,0
2824159,9/01/2020 0:34,VH-VZX,737-800,QFA - 737-800 (1024 wps),YCHK,YPPH,40548937,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,465.25,485.25,0,1451.617523,0,3.87E-05,0.010555037,0,5,-1.516390681,5.061244449,0
2824490,9/01/2020 8:25,VH-XZD,737-800,QFA - 737-800 (1024 wps),YSOL,YPPH,40548352,Airborne Speed High,Level 2,Not a False Positive,591,611,0,1996.691162,0,-0.001525879,0.031299232,0,15,-1.102259159,15.11723073,0
2824903,9/01/2020 22:48,VH-VXT,737-800,QFA - 737-800 (1024 wps),YPPH,YPKG,40548181,Airborne Speed High,Level 2,Not a False Positive,494,514,0,53.79086685,0,-0.001525879,0.004867297,0,1,-1.562426805,1.012420556,0
2825380,10/01/2020 8:52,VH-VXL,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40547734,Airborne Speed High,Level 2,Not a False Positive,417,438,1,1868.840576,0,5.55E-04,0.018689484,0,5,-0.458834648,4.965483691,0
2825422,10/01/2020 7:55,VH-VZZ,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40547973,Short Runway Distance Remaining,Level 2,Not a False Positive,10972,10992,0,25.1483345,2,-0.001525879,0.002575898,0,30,4.018940926,29.92190425,0
2825457,10/01/2020 4:37,VH-VYF,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40547571,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,846.25,866.25,0,12.41916823,2,-9.54E-05,0.041397703,0,5,-0.642573953,5.037489711,0
2825794,11/01/2020 0:30,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40547222,Airborne Speed High,Level 2,Not a False Positive,857,878,1,12.50385475,18,2.29E-05,0.033690147,0,5,-1.286268234,5.013735488,0
2825850,11/01/2020 0:26,VH-VXP,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,40547457,Deep Touchdown,Level 2,Not a False Positive,8871.75,8891.75,0,13.17462659,0,-9.54E-05,0.009423503,0,30,3.836829185,30.19537099,0
2825936,11/01/2020 1:56,VH-VXI,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40547454,Airborne Speed High,Level 2,Not a False Positive,1012,1032,0,365.7663269,0,-9.54E-05,0.039726569,0,5,-1.470354557,5.084998672,0
2825950,11/01/2020 2:54,VH-VZO,737-800,QFA - 737-800 (1024 wps),YMML,YBCS,40547483,Airborne Speed High,Level 2,Not a False Positive,619,639,0,344.739563,4,-9.54E-05,0.021911245,0,5,-0.366993845,5.180015564,0
2826129,11/01/2020 7:54,VH-VZH,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40547133,GPWS: Windshear Warning,Level 2,Not a False Positive,9715,9737.25,2.25,22.32516861,2,-4.03E-04,0.023487418,0,30,3.746097088,30.13677724,0
2826129,11/01/2020 7:54,VH-VZH,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40547140,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,371,391,0,8.880331993,2,-9.54E-05,0.008248442,0,1,-1.010283589,1.003406133,0
2826131,11/01/2020 9:14,VH-VZY,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40547051,Rotation Speed High,Level 2,Not a False Positive,656,676,0,6.255616188,0,-0.001525879,0.035478204,0,5,-1.286268234,5.013735488,0
2826131,11/01/2020 9:14,VH-VZY,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40547057,Airborne Speed High,Level 2,Not a False Positive,661,682,1,10.93332863,0,5.55E-04,0.036401891,0,5,-1.37830174,5.013735488,0
2826718,12/01/2020 2:11,VH-VZX,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40547236,Airborne Speed High,Level 2,Not a False Positive,409,429,0,354.8435364,2,-9.54E-05,0.011001264,0,5,-0.918327272,5.061244449,0
2826789,12/01/2020 2:07,VH-VXI,737-800,QFA - 737-800 (1024 wps),YBCS,YMML,40546981,GPWS: Sink Rate,Level 2,Bad Parameter: Bad Sensor on Airplane,12150,12170,0,396.1164856,0,-9.54E-05,0.017004812,0,30,4.291615963,30.07818349,1
2826789,12/01/2020 2:07,VH-VXI,737-800,QFA - 737-800 (1024 wps),YBCS,YMML,40546985,GPWS: Pull Up,Level 2,Bad Parameter: Bad Sensor on Airplane,12150,12170,0,396.1164856,0,-9.54E-05,0.017004812,0,30,4.291615963,30.07818349,1
2826789,12/01/2020 2:07,VH-VXI,737-800,QFA - 737-800 (1024 wps),YBCS,YMML,40546986,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,1759,12176,10397,419.9475098,0,-8.34E-07,0.004244115,0,0,-1.470354557,0.004750851,1
2826864,12/01/2020 3:15,VH-VZI,737-800,QFA - 737-800 (1024 wps),NZWN,YMML,40546818,Pitch Attitude High During Rotation (Gears Extended),Level 3,Not a False Positive,1405.25,1425.25,0,29.34768486,0,-9.54E-05,0.017965523,0,5,-1.286268234,5.061244449,0
2827224,12/01/2020 17:20,VH-VZT,737-800,QFA - 737-800 (1024 wps),NZAA,YMML,40546458,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,852,872,0,15.9088707,0,-0.001525879,0.004925991,0,1,-1.286268234,0.99408856,0
2827319,12/01/2020 21:27,VH-VZE,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40545969,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1115.75,1135.75,0,392.0906296,2,0.002765656,0.033328708,0,1,-0.918327272,0.99408856,0
2828201,13/01/2020 7:26,VH-VYL,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40545565,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,5173,10540.5,5347.5,830.3805603,0,-1.88E-05,0.010692586,0,0,-0.734472454,0.014252555,1
2828400,13/01/2020 7:58,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40545405,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,952.5,972.5,0,9.221581936,0,6.20E-04,0.015096913,0,5,-1.194254041,5.156261341,0
2828485,13/01/2020 21:13,VH-VYE,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40545253,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2722,5371.25,2629.25,1155.183777,4,-1.28E-05,0.002218996,0,0,-1.286268234,0,1
2828888,14/01/2020 6:39,VH-VZB,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40544889,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,655,675,0,11.48843384,6,-9.54E-05,0.012360051,0,5,-0.734472454,5.180015564,0
2829183,14/01/2020 7:22,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40544565,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,920.5,940.5,0,13.01268435,0,-9.54E-05,0.041895661,0,5,-1.102259159,5.013735488,0
2829438,14/01/2020 22:40,VH-XZH,737-800,QFA - 737-800 (1024 wps),YPPH,YGIA,40544413,Pitch Rate Low during Rotation,Level 2,Not a False Positive,635.75,659.75,4,48.83684921,2,-3.26E-04,0.02264389,0,1,-0.826390207,1.016927768,0
2829469,14/01/2020 23:49,VH-XZF,737-800,QFA - 737-800 (1024 wps),YCHK,YPPH,40544335,Deep Touchdown,Level 2,Not a False Positive,6438.5,6458.5,0,57.51026344,2,-9.54E-05,0.029915501,0,30,3.837063789,29.95120112,0
2829716,15/01/2020 2:34,VH-VXN,737-800,QFA - 737-800 (1024 wps),YPDN,YMML,40544282,Stick shaker,Level 2,Not a False Positive,17752,17772,0,551.1810913,2,-9.54E-05,0.008330181,0,0,-1.194254041,0,0
2829748,15/01/2020 6:31,VH-VZZ,737-800,QFA - 737-800 (1024 wps),YAYE,YPAD,40543986,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,6961,6983,2,22.44587708,0,-2.13E-04,0.010141329,0,30,2.835395336,30.13677724,0
2829786,15/01/2020 8:19,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40543898,Deep Touchdown,Level 3,Not a False Positive,5205.25,5225.25,0,356.7346954,4,6.20E-04,0.028281876,0,30,8.697881937,30.18072255,0
2829849,15/01/2020 9:51,VH-VZM,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40544001,Rotation Speed High,Level 2,Not a False Positive,2113,2133,0,388.5598145,6,0.001335144,0.0069394,0,5,-1.102259159,4.965483691,0
2830013,15/01/2020 20:03,VH-VYL,737-800,QFA - 737-800 (1024 wps),YPAD,YPPH,40543837,Thrust reversers delayed during landing,Level 2,Not a False Positive,11483.75,11569.5,65.75,61.06691456,0,0.536731499,0.020447819,0,30,4.382470131,30.25396474,0
2830398,16/01/2020 7:04,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40543211,Rotation Speed High,Level 3,Not a False Positive,1935.75,1955.75,0,2.904592693,0,-9.54E-05,0.034118048,0,5,-1.286268234,5.013735488,0
2830398,16/01/2020 7:04,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40543212,Airborne Speed High,Level 2,Not a False Positive,1941,1962,1,9.913136482,0,5.55E-04,0.035119734,0,5,-1.286268234,5.013735488,0
2830420,16/01/2020 7:32,VH-VZS,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40542988,Rotation Speed High,Level 2,Not a False Positive,1541,1561,0,2.383610487,0,-9.54E-05,0.013014768,0,5,-1.470354557,5.108752895,0
2830420,16/01/2020 7:32,VH-VZS,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40542989,Airborne Speed High,Level 2,Not a False Positive,1548,1568,0,9.923547745,0,-9.54E-05,0.014400802,0,5,-1.470354557,5.108752895,0
2830421,16/01/2020 6:13,VH-XZB,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40543234,Airborne Speed High,Level 2,Not a False Positive,698,718,0,58.63352966,0,-9.54E-05,0.02146829,0,1,-1.102259159,0.998839404,0
2830614,16/01/2020 17:32,VH-XZE,737-800,QFA - 737-800 (1024 wps),NZCH,YSSY,40543124,High Vertical Acceleration at landing,Level 2,Not a False Positive,10957,10983,6,14.39420986,2,-4.36E-04,0.015962895,0,30,3.837063789,30.13677724,0
2830736,16/01/2020 19:56,VH-XZF,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,40543013,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,538.75,558.75,0,21.22185755,2,0.002765656,0.01077289,0,5,-1.1482566,5.061244449,0
2830893,17/01/2020 1:51,VH-VXB,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40542507,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,453.75,473.75,0,10.34795928,2,-9.54E-05,0.012667293,0,1,-1.37830174,1.003406133,0
2831345,17/01/2020 8:19,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40542166,Pitch Rate Low during Rotation,Level 2,Not a False Positive,301.25,325.25,4,5.650167108,0,3.66E-04,0.012926156,0,5,-1.194254041,5.013735488,0
2831973,18/01/2020 2:34,VH-VXE,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40541586,Airspeed Low Relative to Stall Speed,Level 2,Not a False Positive,5570,5597,7,18.93165016,4,1.86E-04,0.013625364,0,5,34.16527176,4.951231157,0
2832032,18/01/2020 3:29,VH-XZE,737-800,QFA - 737-800 (1024 wps),NWWW,YBBN,40541624,Airborne Speed High,Level 2,Not a False Positive,561,581,0,39.46311951,0,-9.54E-05,0.035330295,0,5,-1.102259159,5.108752895,0
2832137,18/01/2020 7:04,VH-VXK,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40541538,High Speed Below 5000 ft AAL,Level 3,Not a False Positive,8325,8366,21,15.38266563,0,-5.52E-04,0.007244198,0,0,-1.37830174,0.014252555,0
2832169,18/01/2020 7:44,VH-VZF,737-800,QFA - 737-800 (1024 wps),YPPH,YSCB,40541692,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,506.25,526.25,0,55.03435707,0,2.62E-04,0.003798519,0,1,-1.194254041,0.989337715,0
2832507,19/01/2020 0:13,VH-VZV,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40541259,Airborne Speed High,Level 2,Not a False Positive,444,464,0,56.85133362,0,-5.96E-06,0.002354437,0,15,-1.286268234,15.11723073,0
2833163,19/01/2020 19:53,VH-XZK,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,40540774,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,734.75,754.75,0,16.22500658,0,-0.001525879,0.025664478,0,1,-1.332284987,1.016927768,0
2833350,19/01/2020 21:46,VH-VYD,737-800,QFA - 737-800 (1024 wps),YPAD,YPDN,40540515,Thrust reversers delayed during landing,Level 2,Not a False Positive,12651.5,12733,61.5,82.05648041,0,8.20E-05,0.009846261,0,30,3.928011894,30.01958974,0
2833864,20/01/2020 5:35,VH-VXU,737-800,QFA - 737-800 (1024 wps),YBCG,YSSY,40540028,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,5405,5426,1,546.336792,4,5.55E-04,0.0110049,0,0,34.16527176,0,0
2833947,20/01/2020 7:29,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40540046,Rotation Speed High,Level 2,Not a False Positive,608.25,628.25,0,2.570877016,0,-9.54E-05,0.025621376,0,5,-1.102259159,5.043428395,0
2833947,20/01/2020 7:29,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40540047,Airborne Speed High,Level 2,Not a False Positive,615,635,0,9.000775337,0,-9.54E-05,0.017908869,0,5,-1.102259159,5.037489711,0
2834171,20/01/2020 19:53,VH-XZP,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40539710,Deep Touchdown,Level 2,Not a False Positive,5149.5,5169.5,0,398.3688812,0,0.001335144,0.01219429,0,30,3.837063789,30.01958974,0
2834280,20/01/2020 20:21,VH-XZE,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,40540024,TCAS Resolution Advisory,Level 2,Not a False Positive,11660,11696,16,272.449707,0,0.002849803,0.005803917,0,10,-0.183369875,10.18556468,0
2834504,20/01/2020 23:11,VH-VZK,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40539759,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,825.75,845.75,0,13.32172298,0,-9.54E-05,0.00452761,0,5,-1.056271374,5.22752401,0
2834545,21/01/2020 2:40,VH-XZN,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40539520,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,378.5,398.5,0,16.36732769,0,-9.54E-05,0.030103745,0,1,-1.37830174,1.016927768,0
2834615,21/01/2020 3:08,VH-VZK,737-800,QFA - 737-800 (1024 wps),NZWN,YMML,40539745,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,436.25,456.25,0,23.36461496,0,-9.54E-05,0.028011329,0,5,-1.194254041,5.221585454,0
2834632,21/01/2020 6:10,VH-XZO,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40539190,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,378,398,0,396.6351318,0,-9.54E-05,0.021647872,0,5,-1.286268234,5.156261341,0
2835919,21/01/2020 21:30,VH-VYH,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40539040,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,3542,8414,4852,1335.301807,2,2.46E-06,0.006553675,0,0,-1.654518247,0.009501703,1
2836197,22/01/2020 4:53,VH-VYF,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538529,Airborne Speed High,Level 2,Not a False Positive,1066,1086,0,393.3154907,2,-9.54E-05,0.016437765,0,5,-0.826390207,5.037489711,0
2836247,22/01/2020 4:49,VH-XZL,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40538571,Thrust reversers delayed during landing,Level 2,Not a False Positive,5058.5,5144.75,66.25,12.8179369,2,2.41E-04,0.026235068,0,30,3.928011894,30.00004387,0
2836267,22/01/2020 4:26,VH-VZE,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40538816,Airborne Speed High,Level 2,Not a False Positive,731,752,1,393.4177246,4,5.55E-04,0.034642717,0,1,-0.826390207,0.99408856,0
2836298,22/01/2020 6:09,VH-VXM,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538511,Rotation Speed High,Level 2,Not a False Positive,1690.25,1710.25,0,374.9080887,7,-9.54E-05,0.020408428,0,5,-1.102259159,5.084998672,0
2836298,22/01/2020 6:09,VH-VXM,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538512,Airborne Speed High,Level 2,Not a False Positive,1696,1716,0,388.6118469,7,-9.54E-05,0.018971291,0,5,-1.102259159,5.084998672,0
2836339,22/01/2020 6:56,VH-VZP,737-800,QFA - 737-800 (1024 wps),YPPH,YNWN,40538440,Airborne Speed High,Level 2,Not a False Positive,749,770,1,58.16384506,8,-8.64E-04,0.004545136,0,1,-0.826390207,0.998839404,0
2836364,22/01/2020 7:43,VH-VZV,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538310,Rotation Speed High,Level 2,Not a False Positive,2254,2274,0,385.2142029,2,-9.54E-05,0.019176942,0,5,-1.286268234,5.108752895,0
2836367,22/01/2020 4:37,VH-VXB,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,40538908,Airborne Speed High,Level 2,Not a False Positive,524,544,0,58.30287552,0,-9.54E-05,0.026020037,0,1,-1.470354557,1.007913345,0
2836384,22/01/2020 8:27,VH-VZK,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538386,Rotation Speed High,Level 2,Not a False Positive,1175.5,1195.5,0,370.6323853,10,-9.54E-05,0.002718913,0,5,-1.102259159,5.203769787,0
2836384,22/01/2020 8:27,VH-VZK,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40538388,Airborne Speed High,Level 2,Not a False Positive,1181,1202,1,381.2960205,10,5.55E-04,0.003767953,0,5,-1.102259159,5.203769787,0
2836409,22/01/2020 8:45,VH-VXP,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40538350,Airborne Speed High,Level 2,Not a False Positive,1681,1701,0,393.7705078,0,-0.001525879,0.019617699,0,5,-0.275172263,5.156261341,0
2836488,22/01/2020 10:31,VH-XZL,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40538334,Airborne Speed High,Level 2,Not a False Positive,1190,1211,1,396.365509,0,-0.002282513,0.004897134,0,5,-1.102259159,5.013735488,0
2837329,23/01/2020 1:22,VH-VXT,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40538239,Rotation Speed High,Level 2,Not a False Positive,1007,1027,0,358.4262085,0,-9.54E-05,0.029312422,0,5,-0.734472454,5.251278233,0
2837441,23/01/2020 3:43,VH-VZT,737-800,QFA - 737-800 (1024 wps),NZAA,YSSY,40538127,High Vertical Acceleration at landing,Level 2,Not a False Positive,11408.25,11434.25,6,11.11534119,0,-4.36E-04,0.02573088,0,30,3.29098177,29.980498,0
2837970,24/01/2020 0:07,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40537133,Airborne Speed High,Level 2,Not a False Positive,474,494,0,8.730196953,2,-5.96E-06,0.026627462,0,1,-0.550694644,0.970334285,0
2837991,24/01/2020 1:06,VH-XZN,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40537065,Airborne Speed High,Level 2,Not a False Positive,1235,1255,0,378.6177979,2,-9.54E-05,0.010028011,0,1,-1.470354557,1.016927768,0
2838784,24/01/2020 2:28,VH-VXP,737-800,QFA - 737-800 (1024 wps),YPDN,YMML,40537137,TCAS Resolution Advisory,Level 2,Bad Parameter: Bad Sensor on Airplane,13527,13585,38,1538.713867,0,3.57E-04,0.006272776,0,0,0.550358832,0.009501703,1
2838824,24/01/2020 3:46,VH-VXB,737-800,QFA - 737-800 (1024 wps),YPDN,YBBN,40537016,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,678.25,698.25,0,88.06174469,0,-9.54E-05,0.005043675,0,1,-1.37830174,0.998839404,0
2839271,24/01/2020 21:56,VH-VXC,737-800,QFA - 737-800 (1024 wps),YMML,YBHM,40536606,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,968,988,0,393.728363,4,-0.001525879,0.048844201,0,1,-0.826390207,1.007913345,0
2839772,25/01/2020 6:51,VH-VYK,737-800,QFA - 737-800 (1024 wps),YBCG,YSSY,40536157,Airborne Speed High,Level 2,Not a False Positive,365,385,0,17.06254196,2,-9.54E-05,0.022017094,0,1,-0.642573953,1.003406133,0
2840027,25/01/2020 19:01,VH-VZO,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40535811,Climb Speed High,Level 2,Not a False Positive,608,630,2,-9.240666389,2,0.002601498,0.008950193,0,1,-0.275172263,1.030449452,0
2840139,25/01/2020 23:20,VH-VXM,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40535737,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,5042,5064,2,9.481507301,2,-3.67E-05,0.021964552,0,30,4.291615963,30.37115224,0
2840380,26/01/2020 2:11,VH-VXI,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,40536109,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,6187,15743.75,9536.75,0,0,-6.30E-06,0.011721399,0,0,-1.562426805,0.004750851,1
2840561,26/01/2020 8:10,VH-VZK,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40535485,Rotation Speed High,Level 2,Not a False Positive,1497,1517,0,8.235965729,0,-0.001525879,0.018563489,0,5,-1.102259159,5.203769787,0
2840754,26/01/2020 20:50,VH-XZO,737-800,QFA - 737-800 (1024 wps),YBBN,YBTL,40535203,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,443,463,0,8.703765869,2,-0.001525879,0.00359238,0,1,-1.562426805,1.016927768,0
2840790,26/01/2020 21:50,VH-XZN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40534900,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1310.5,1330.5,0,398.7926483,2,0.001335144,0.010879965,0,1,-1.470354557,1.019181398,0
2841016,26/01/2020 23:35,VH-VXD,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,40535213,Airborne Speed High,Level 2,Not a False Positive,549,569,0,56.407444,0,-0.001525879,0.016997589,0,5,-0.275172263,5.22752401,0
2841167,27/01/2020 3:15,VH-XZF,737-800,QFA - 737-800 (1024 wps),NZWN,YMML,40535137,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,894.25,914.25,0,31.64864206,0,-9.54E-05,0.03920905,0,5,-1.102259159,4.979736225,0
2841435,27/01/2020 6:36,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSCB,YPAD,40534296,Rotation Speed High,Level 2,Not a False Positive,340.25,360.25,0,1866.362091,0,-9.54E-05,0.026256575,0,5,-0.275172263,5.156261341,0
2842218,27/01/2020 23:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YMML,NZWN,40533820,Short touchdown,Level 2,Not a False Positive,11503,11523,0,22.9265728,2,-9.54E-05,0.022460114,0,40,3.837063789,40,0
2842531,28/01/2020 19:49,VH-VYI,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40533327,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,644,664,0,403.6442261,4,-0.001525879,0.0116171,0,1,-1.286268234,1.016927768,0
2843104,28/01/2020 21:28,VH-XZL,737-800,QFA - 737-800 (1024 wps),YMML,YPDN,40533233,High Bank Angle Climb below 200 feet,Level 2,Not a False Positive,721.5,741.5,0,406.6545715,0,0.001335144,0.020401746,0,15,-1.102259159,15.05863698,0
2843267,29/01/2020 1:20,VH-VZF,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40533215,Early Flap Retraction,Level 2,Not a False Positive,547.75,633,65.25,347.1552505,0,-6.64E-05,0.008879704,0,25,-0.458834648,25.04885356,0
