flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2448690,20/11/2018 22:07,VH-VYF,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,40811369,Pitch Rate Low during Rotation,Level 2,Not a False Positive,709.5,733.5,4,-0.001710461,0.032935746,0,1,-0.918327272,0.99408856,0
2448827,20/11/2018 21:47,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YPPH,40811452,Pitch Rate Low during Rotation,Level 2,Not a False Positive,990.75,1014.75,0,0.001058271,0.05760403,0,5,-0.458834648,5.132507118,0
2448699,20/11/2018 21:38,VH-VYK,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40811516,GPWS: Windshear Warning,Level 2,Not a False Positive,8874,8898,2,0.001058271,0.003470179,0,30,3.47308445,29.95120112,0
2448074,20/11/2018 1:57,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40811530,Airborne Speed High,Level 2,Not a False Positive,799,819,0,-9.54E-05,0.049108523,0,5,-0.734472454,5.22752401,0
2447826,19/11/2018 22:52,VH-VXJ,737-800,QFA - 737-800 (1024 wps),YPPH,YGIA,40811653,GPWS: Sink Rate,Level 2,Not a False Positive,5839,5861,2,-3.67E-05,0.018546834,0,30,4.382470131,30.01958974,0
2447678,19/11/2018 20:52,VH-VYD,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40811722,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2396,4919.75,2,5.52E-05,0.009652823,0,0,-1.470354557,0,1
2447398,19/11/2018 6:03,VH-VXK,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40811880,GPWS: Sink Rate,Level 2,Not a False Positive,7223,7244,0,5.55E-04,0.019003499,0,30,2.835395336,30.25396474,0
2447262,19/11/2018 3:56,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40811927,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,3472,3494,0,-2.13E-04,0.013705648,0,30,2.653028727,30.07818349,0
2447262,19/11/2018 3:56,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40811928,Airborne Speed High,Level 3,Not a False Positive,420,440,0,-9.54E-05,0.023841814,0,5,-0.183369875,5.180015564,0
2447301,19/11/2018 4:26,VH-VYC,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40811932,Airborne Speed High,Level 2,Not a False Positive,979,1000,0,5.55E-04,0.049160482,0,5,-1.470354557,5.156261341,0
2447188,19/11/2018 2:28,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40812001,Approach Speed High Below 50 ft AGL (Vref),Level 2,Bad Parameter: Bad Sensor on Airplane,3317,3339,12,4.91E-04,0.022199515,0,30,4.018940926,30.07818349,1
2447103,19/11/2018 0:14,VH-VZC,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40812009,Airborne Speed High,Level 2,Not a False Positive,541,562,0,2.29E-05,0.034984923,0,5,-1.562426805,5.061244449,0
2447540,19/11/2018 8:42,VH-VXF,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,40812150,Airborne Speed High,Level 2,Not a False Positive,461,481,0,-0.001525879,0.056332853,0,1,-1.194254041,0.99408856,0
2445845,18/11/2018 9:43,VH-VYC,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40812249,Airborne Speed High,Level 2,Not a False Positive,695,715,0,0.001335144,0.035846248,0,5,-1.470354557,5.156261341,0
2445698,18/11/2018 3:40,VH-VXS,737-800,QFA - 737-800 (1024 wps),YPPH,YMML,40812531,Rotation Speed High,Level 2,Not a False Positive,472.25,492.25,2,-9.54E-05,0.03643997,0,1,-1.37830174,1.016927768,0
2445626,18/11/2018 2:46,VH-XZK,737-800,QFA - 737-800 (1024 wps),AYPY,YBBN,40812662,Airborne Speed High,Level 2,Not a False Positive,524,544,0,6.20E-04,0.042839458,0,5,-1.102259159,5.180015564,0
2445492,18/11/2018 0:48,VH-VZC,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40812714,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,4954,4976,0,1.39E-04,0.01399821,0,30,3.928011894,29.980498,0
2445287,17/11/2018 7:40,VH-XZL,737-800,QFA - 737-800 (1024 wps),YPPH,YSCB,40812738,Airborne Speed High,Level 2,Not a False Positive,499,520,0,-8.64E-04,0.047134706,0,1,-1.194254041,1.007913345,0
2445287,17/11/2018 7:40,VH-XZL,737-800,QFA - 737-800 (1024 wps),YPPH,YSCB,40812739,Pitch Rate Low during Rotation,Level 2,Not a False Positive,488,512,0,-3.26E-04,0.05359896,0,1,-1.194254041,1.007913345,0
2445082,17/11/2018 1:55,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40812850,Airborne Speed High,Level 2,Not a False Positive,484,504,0,2.62E-04,0.029703702,0,1,-0.734472454,1.021435028,0
2444938,16/11/2018 0:09,VH-VXC,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40813002,Airborne Speed High,Level 2,Not a False Positive,447,468,0,2.29E-05,0.034231776,0,5,-0.826390207,5.037489711,0
2445049,16/11/2018 23:47,VH-VXE,737-800,QFA - 737-800 (1024 wps),YSSY,YBHM,40813107,Short Runway Distance Remaining,Level 2,Not a False Positive,8258.5,8278.5,0,8.34E-05,0.024197339,0,40,4.382470131,39.94147237,0
2444206,15/11/2018 21:30,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40813607,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,1420,7510.25,0,2.46E-07,0.004687086,0,0,0.458709747,0,1
2444151,15/11/2018 20:29,VH-VZG,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40813646,Deep Touchdown,Level 2,Not a False Positive,7635.5,7655.5,6,0.001335144,0.028428452,0,30,7.640826702,30.25396474,0
2442824,15/11/2018 7:15,VH-VYK,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40813757,Airborne Speed High,Level 2,Not a False Positive,409,429,2,-9.54E-05,0.033653451,0,5,-0.642573953,5.061244449,0
2441883,14/11/2018 4:33,VH-VZB,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40814212,Deep Touchdown,Level 2,Not a False Positive,7169.5,7189.5,6,-9.54E-05,0.018172824,0,30,3.837063789,30.01958974,0
2441953,14/11/2018 6:19,VH-VXP,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40814220,Airborne Speed High,Level 2,Not a False Positive,553,575,2,-2.13E-04,0.032930539,0,1,-0.826390207,1.003406133,0
2441683,13/11/2018 23:34,VH-VXU,737-800,QFA - 737-800 (1024 wps),YMML,YBCS,40814573,Deep Touchdown,Level 2,Not a False Positive,11437,11457,2,-9.54E-05,0.040682979,0,30,3.928011894,30.07818349,0
2440926,13/11/2018 2:00,VH-VYE,737-800,QFA - 737-800 (1024 wps),YMML,YMHB,40814754,Airborne Speed High,Level 2,Not a False Positive,553,573,0,6.20E-04,0.053798014,0,1,-1.102259159,1.003406133,0
2440936,13/11/2018 1:23,VH-VZC,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40814863,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,468.5,488.5,2,8.34E-05,0.062167188,0,1,-0.642573953,0.998839404,0
2440164,12/11/2018 7:05,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40815169,Airborne Speed High,Level 2,Not a False Positive,545,565,16,-9.54E-05,0.03123659,0,5,-1.102259159,4.993988759,0
2439967,11/11/2018 23:43,VH-VXG,737-800,QFA - 737-800 (1024 wps),YBBN,YPPH,40815276,High Vertical Acceleration at landing,Level 3,Not a False Positive,18949,18975,0,-4.36E-04,0.010999003,0,40,3.837063789,40,0
2439800,12/11/2018 0:04,VH-VXE,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40815308,Airborne Speed High,Level 2,Not a False Positive,548,568,0,-5.96E-06,0.044493981,0,5,-0.458834648,4.965483691,0
2438825,11/11/2018 9:48,VH-VXB,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40815458,GPWS: Too Low Gear,Level 2,Bad Parameter: Bad Sensor on Airplane,4096,4117,4,5.55E-04,0.004508986,0,30,4.200743198,29.980498,1
